lon,lat,depth,mw,date
127.4,5.448,52,4.5,8/1/2001
124.423,11.459,10,4.3,8/1/2001
122.55,15.174,15,4.7,12/1/2001
120.851,17.345,26,5,12/1/2001
124.836,9.781,27,4.7,13/1/2001
124.853,9.779,37,4.9,13/1/2001
126.352,2.527,65,5.4,18/1/2001
126.464,2.87,38,5.3,20/1/2001
126.44,6.536,38,4.5,21/1/2001
126.265,10.231,25,5.1,21/1/2001
121.417,0.776,57,4.8,2/2/2001
127.79,1.579,25,4.8,5/2/2001
123.427,1.299,41,4.5,9/2/2001
123.441,1.299,40,4.4,9/2/2001
122.4,20.263,30,4.9,17/2/2001
122.402,20.211,29,4.6,18/2/2001
122.486,20.203,20,4.4,18/2/2001
125.956,8.448,31,4.5,20/2/2001
125.047,11.751,15,4.6,20/2/2001
126.791,6.582,83,5.1,21/2/2001
126.294,1.327,35,6.9,24/2/2001
126.259,1.518,34,5.3,24/2/2001
126.328,1.532,29,5.7,24/2/2001
126.255,1.511,30,4.8,24/2/2001
126.392,1.45,55,4.6,25/2/2001
126.306,1.309,38,4.8,26/2/2001
126.32,1.811,40,5,26/2/2001
126.31,1.36,84,5.1,26/2/2001
126.55,2.431,55,4.6,26/2/2001
126.973,6.521,21,5.2,28/2/2001
121.005,23.834,18,4.9,1/3/2001
126.443,1.446,28,4.8,3/3/2001
126.252,1.442,15,4.9,4/3/2001
126.454,1.479,54,4.9,6/3/2001
121.072,18.846,25,5.4,13/3/2001
121.853,0.376,105,5.7,14/3/2001
125.936,6.642,117,4.9,20/3/2001
128.467,2.46,46,4.9,20/3/2001
126.232,3.792,30,5,25/3/2001
127.388,5.724,42,4.8,14/4/2001
126.882,3.076,25,4.7,16/4/2001
120.552,18.496,34,4.5,24/4/2001
121.057,23.612,10,4.7,27/4/2001
120.921,18.965,31,4.6,30/4/2001
119.949,17.187,35,4.8,3/5/2001
126.198,0.374,26,5.4,3/5/2001
126.378,0.392,25,5.2,3/5/2001
126.267,1.308,55,4.7,4/5/2001
121.073,16.458,25,4.8,11/5/2001
124.609,11.29,10,4.5,17/5/2001
125.461,9.675,19,4.6,24/5/2001
126.25,3.989,106,5.3,10/6/2001
121.142,23.121,6,4.5,10/6/2001
127.197,3.259,28,4.7,11/6/2001
127.056,7.563,48,4.4,12/6/2001
123.402,23.931,39,4.7,13/6/2001
121.135,23.13,1,4.9,19/6/2001
121.137,23.137,10,4.8,19/6/2001
128.522,3.022,217,5,20/6/2001
125.607,1.392,74,5.4,23/6/2001
124.806,11.097,15,4.5,24/6/2001
119.962,17.186,35,4.3,25/6/2001
126.894,8.448,15,5,25/6/2001
126.933,8.411,15,5,25/6/2001
125.247,0.347,72,5,26/6/2001
120.868,13.693,32,5,8/7/2001
126.766,6.083,102,5.4,20/7/2001
120.611,13.905,114,5.2,23/7/2001
125.29,12.14,45,5,24/7/2001
123.342,12.668,15,4.7,30/7/2001
126.302,1.459,38,5.1,31/7/2001
117.424,7.993,20,4.7,31/7/2001
126.864,2.744,27,4.8,2/8/2001
126.882,2.74,54,4.2,2/8/2001
125.918,13.678,38,4.8,3/8/2001
126.903,2.771,35,5.6,4/8/2001
128.306,0.595,25,4.3,4/8/2001
127.012,2.821,27,4.6,5/8/2001
121.033,21.498,33,4.9,6/8/2001
121.057,21.386,10,4.4,7/8/2001
123.407,12.59,22,4.6,12/8/2001
126.917,2.692,42,4.2,12/8/2001
127.804,4.277,152,5.1,15/8/2001
122.174,10.158,26,4.6,22/8/2001
126.023,1.177,52,4.3,25/8/2001
126.356,1.106,10,4.3,26/8/2001
119.546,13.235,13,4.6,26/8/2001
126.373,1.059,25,4.3,26/8/2001
126.446,1.109,30,4.6,26/8/2001
126.338,1.044,31,5.8,27/8/2001
126.491,1.153,30,4.9,27/8/2001
126.446,1.182,30,5.2,27/8/2001
126.402,1.07,30,5,27/8/2001
126.342,1.053,30,5,27/8/2001
124.188,13.029,35,4.5,31/8/2001
124.13,13.033,43,4.3,31/8/2001
125.964,1.157,42,5.3,1/9/2001
126.455,9.526,25,4.8,6/9/2001
125.787,0.81,15,4.1,8/9/2001
120.674,23.236,12,5,17/9/2001
119.885,16.843,30,4.6,18/9/2001
120.285,13.084,34,4.7,23/9/2001
122.629,1.143,10,4.3,2/10/2001
125.831,0.795,31,5.6,13/10/2001
126.61,4.177,24,5.1,16/10/2001
126.399,1.811,44,5.2,21/10/2001
128.654,3.898,22,4.4,21/10/2001
126.392,1.696,39,4.8,22/10/2001
126.792,3.118,40,4.7,22/10/2001
126.554,3.545,31,5.2,23/10/2001
122.121,23.694,16,4.8,26/10/2001
126.522,1.561,32,5.1,29/10/2001
126.811,6.039,98,5,2/11/2001
121.039,23.929,15,4.6,4/11/2001
122.369,9.677,16,4.7,15/11/2001
121.01,18.479,20,5,18/11/2001
125.312,23.076,10,5.2,25/11/2001
120.167,18.964,27,5.3,4/12/2001
123.415,1.382,25,4.9,9/12/2001
128.335,2.839,28,4.9,10/12/2001
123.448,0.101,84,4.9,18/12/2001
122.786,23.984,20,7.2,18/12/2001
122.773,23.868,25,4.8,18/12/2001
122.793,23.792,25,4.6,18/12/2001
122.822,23.915,41,4.8,19/12/2001
128.532,2.885,27,4.7,23/12/2001
126.644,2.211,29,5.4,26/12/2001
125.507,6.264,41,4.4,26/12/2001
121.246,22.65,6,4.7,27/12/2001
124.375,11.466,15,4.3,31/12/2001
125.673,6.31,137,6,1/1/2002
123.576,0.582,286,5.1,5/1/2002
120.968,22.892,9,4.5,7/1/2002
119.6,0.299,22,5.2,11/1/2002
125.341,23.922,31,5.1,16/1/2002
121.671,21.897,10,4.7,22/1/2002
120.377,18.269,25,4.7,26/1/2002
122.435,8.864,15,4.9,6/2/2002
126.31,2.989,40,5.5,7/2/2002
128.36,3.054,51,5.1,7/2/2002
121.749,2.148,558,4.9,8/2/2002
121.194,20.848,26,4.6,9/2/2002
121.632,23.784,51,5.4,12/2/2002
121.121,19.262,33,5,12/2/2002
126.056,1.165,39,4.7,17/2/2002
126.457,4.029,52,4.6,23/2/2002
119.83,0.72,35,4.2,5/3/2002
124.227,6.021,31,7.1,5/3/2002
124.394,5.869,30,4.6,6/3/2002
124.725,5.746,27,4.6,6/3/2002
124.457,5.569,30,4.7,6/3/2002
124.204,5.763,28,5,7/3/2002
124.234,5.742,30,4.8,8/3/2002
124.181,5.785,25,5.7,8/3/2002
124.236,5.852,30,4.7,8/3/2002
124.272,5.828,27,4.9,8/3/2002
122.109,20.205,28,5.3,10/3/2002
124.347,5.907,50,4.6,10/3/2002
122.327,0.585,97,5.6,17/3/2002
123.222,1.312,29,4.4,17/3/2002
123.592,16.501,25,4.8,20/3/2002
126.315,4.531,83,5.5,22/3/2002
128.105,1.335,119,5.5,23/3/2002
126.288,2.963,40,5.1,25/3/2002
124.066,23.324,22,6.7,26/3/2002
124.021,23.27,14,4.8,26/3/2002
124.045,23.307,10,4.7,26/3/2002
126.697,6.504,52,4.6,27/3/2002
128.314,2.257,127,5.3,28/3/2002
124.626,5.711,31,4.5,29/3/2002
125.885,1.923,119,5,30/3/2002
117.097,7.211,15,4.6,7/4/2002
125.344,1.061,55,5.5,13/4/2002
126.745,7.295,35,5.3,14/4/2002
126.578,3.543,17,4.9,15/4/2002
126.895,3.415,37,4.8,18/4/2002
126.865,3.421,19,5.1,18/4/2002
124.025,12.827,35,4.7,19/4/2002
126.877,3.45,28,4.6,20/4/2002
126.879,3.433,15,4.6,20/4/2002
121.655,22.795,18,4.5,20/4/2002
124.377,5.228,35,5.3,20/4/2002
124.318,5.213,35,4.7,21/4/2002
126.167,1.226,36,5,23/4/2002
126.791,6.605,202,5,25/4/2002
124.38,5.18,35,5.1,4/5/2002
125.865,0.849,31,4.2,6/5/2002
128.369,2.638,207,5.7,9/5/2002
121.36,22.215,41,4.9,10/5/2002
122.772,23.893,40,4.8,10/5/2002
126.238,10.861,35,4.8,10/5/2002
120.029,17.14,30,4.8,11/5/2002
121.138,19.223,32,5.3,13/5/2002
121.144,19.212,30,5.3,13/5/2002
123.955,23.252,13,4.3,14/5/2002
122.158,5.716,20,4.1,14/5/2002
125.432,3.464,35,4.9,14/5/2002
126.578,2.015,39,4,21/5/2002
121.156,19.162,15,4.6,21/5/2002
125.508,12.205,54,4.8,22/5/2002
126.579,4.112,30,4.7,22/5/2002
126.531,4.062,27,4.5,22/5/2002
126.45,4.056,28,4.5,22/5/2002
126.556,4.125,37,4.5,23/5/2002
122.003,19.776,29,4.7,25/5/2002
127.281,1.755,107,5.9,26/5/2002
126.527,4.132,48,4.3,26/5/2002
125.595,12.202,48,4.5,1/6/2002
125.892,6.096,79,4.9,9/6/2002
123.937,7.561,25,5.1,14/6/2002
121.632,23.482,41,4.5,14/6/2002
119.798,0.452,17,5.5,16/6/2002
123.124,8.857,22,4.6,20/6/2002
125.858,23.048,17,4.7,21/6/2002
121.248,19.16,30,4.6,24/6/2002
126.199,11.327,12,4.7,29/6/2002
126.009,0.982,41,4.5,10/7/2002
121.839,1.045,27,4.3,11/7/2002
121.119,19.228,25,4.6,12/7/2002
122.753,23.932,38,4.5,13/7/2002
122.286,23.975,43,4.5,17/7/2002
122.2,23.344,20,4.5,17/7/2002
122.781,1.303,34,5.1,19/7/2002
126.207,1.068,27,4,20/7/2002
124.108,0.031,24,4.3,23/7/2002
121.212,19.162,46,4.5,27/7/2002
126.452,6.368,39,5.5,29/7/2002
119.969,19.366,15,4.7,30/7/2002
122.037,0.27,191,4.9,2/8/2002
126.103,1.387,47,5.1,7/8/2002
127.456,1.553,127,5.1,8/8/2002
126.649,8.32,55,4.7,16/8/2002
120.561,18.868,39,4.4,17/8/2002
121.482,22.166,35,5.2,28/8/2002
120.618,13.581,10,5.4,3/9/2002
120.737,23.881,30,4.7,6/9/2002
125.526,23.393,18,5.3,8/9/2002
122.957,1.343,30,4.7,10/9/2002
126.374,1.726,37,4.3,10/9/2002
128.465,2.834,52,4.7,13/9/2002
125.493,12.652,24,4.6,16/9/2002
121.593,21.954,10,4.7,18/9/2002
121.456,13.458,23,4.6,19/9/2002
121.205,22.66,4,4.7,24/9/2002
121.396,20.106,44,4.6,26/9/2002
120.62,23.326,16,4.7,30/9/2002
126.657,2.371,38,4.3,7/10/2002
126.217,9.183,60,5,9/10/2002
121.607,7.715,20,4.5,10/10/2002
118.412,15.084,15,5.6,12/10/2002
118.434,15.033,15,4.8,13/10/2002
121.166,21.174,29,4.4,15/10/2002
126.526,3.661,106,5.2,16/10/2002
121.279,19.142,20,4.8,27/10/2002
122.019,19.874,27,4.5,28/10/2002
121.436,21.856,18,4.9,31/10/2002
123.182,1.264,35,4.6,31/10/2002
128.722,2.249,25,4.7,9/11/2002
121.754,14.403,20,4.8,11/11/2002
120.715,13.95,204,5,11/11/2002
121.291,19.807,33,4.4,14/11/2002
126.963,7.332,25,4.3,16/11/2002
126.914,2.587,40,4.8,17/11/2002
120.86,13.544,180,4.8,23/11/2002
121.623,21.246,59,4.7,26/11/2002
122.519,23.901,28,4.4,26/11/2002
120.85,12.314,15,4.5,27/11/2002
120.872,12.302,35,4.7,27/11/2002
124.306,5.104,22,4.6,30/11/2002
123.363,23.823,36,4.5,30/11/2002
122.298,23.983,40,4.5,1/12/2002
126.276,1.419,21,5.5,2/12/2002
126.516,3.894,58,4.6,5/12/2002
121.865,21.468,10,4.7,7/12/2002
127.029,2.505,35,4.7,8/12/2002
126.581,9.313,31,4.4,18/12/2002
126.283,0.888,25,5.4,19/12/2002
121.409,21.725,15,4.8,21/12/2002
123.146,4.977,600,5.4,21/12/2002
119.882,17.142,35,5.1,22/12/2002
126.567,3.482,55,4.6,23/12/2002
127.954,2.558,46,4.8,29/12/2002
123.294,7.376,25,6.2,30/12/2002
121.399,20.111,40,5.3,6/1/2003
119.43,15.676,15,5.7,6/1/2003
123.531,0.087,157,5.1,9/1/2003
